Lineales,Interacciones,MAE
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8770185907447716
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8770185907447717
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8770408563617003
"['edad_padre', 'edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8770408563617003
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8770408563617006
"['edad_padre', 'edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8770408563617009
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8770654537188896
"['edad_padre', 'edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8770654537188896
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8770654537188902
"['edad_padre', 'edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8770654537188902
"['edad_padre', 'edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8771936915765353
"['edad_padre', 'edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8771936915765355
"['edad_padre', 'edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8771936915765356
"['edad_padre', 'edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8771936915765356
"['edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8773164412962908
"['edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8773164412962909
"['edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8773164412962909
"['edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8773164412962912
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8773632352225764
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8773632352225768
"['edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8773632352225768
"['edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.877363235222577
"['edad_padre', 'edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8773927760728426
"['edad_padre', 'edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8773927760728426
